,Recipient Number,Project Number,Project Status,Amount Recovered,Project Type,Commitment Date,Completion Date,Disbursements to Date,Type of Disbursement,Interest Rate,Eligible Project Costs from Related Public Dollars,Eligible Project Costs from 3rd Party Public Dollars,Eligible Project Costs from Related Private Dollars,Eligible Project Costs from 3rd Party Private Dollars,Total Eligible Project Costs,Total Project Costs,Project Address,Project City,Project State,Project Zip Code (5),Additional Locations,EDA Type,EDA Square Footage,First-Time Homebuyer,Homebuyer Income Category,Development Activity Project Number,Mask Geocoded Census Tract FIPS_x,Mask Geocoded Census Tract FIPS Location_x,Use of Funds,Amount of committed CMF Investment,Date Funds Committed,Stage of Investment,Disbursement Status,Date of First Disbursement,Date of Full Disbursement,Completed Rental Units,Completed Owner Occupied,Rental - Number of Projected Income Eligible Units,Rental - Total Number of Projected Units,Rental - Number of Cumulative Units Completed: Extremely Low-Income Occupants,Rental - Number of Cumulative Units Completed: Very Low-Income Occupants,Rental - Number of Cumulative Units Completed: Low-Income Occupants,Rental - Number of Cumulative Units Completed: Other Eligible Occupants,Rental - Number of Cumulative Units Completed: Non-Eligible Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Extremely Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Very Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Other Eligible Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Non-Eligible Occupants,Rental - Number of Cumulative Units Occupied: Extremely Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Very Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Other Eligible Occupants,Rental - Number of Cumulative Units Occupied: Non-Eligible Occupants,Use of Low-Income Housing Tax Credit Dollars,Owner-Occupied - Number of Projected Income Eligible Units,Owner-Occupied - Total Number of Projected Units,Owner-Occupied - Number of Cumulative Units Completed: Extremely Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Very Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Other Eligible Occupants,Owner-Occupied - Number of Cumulative Units Completed: Non-Eligible Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Extremely Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Very Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Other Eligible Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Non-Eligible Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Extremely Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Very Low-Income Occupants,Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Other Eligible Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Non-Eligible Occupants,Owner-Occupied - Number of Units Sold to First-Time Homebuyers: Extremely Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Very Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Other Eligible Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Non-Eligible Homebuyers,Owner-Occupied - Minimum Sales Price,Owner-Occupied - Maximum Sales Price,new_index,Coordinates
130,9,15004,Complete,,MF - Preservation WITH Rehab,2015-08-06,2017-08-01 00:00:00,250000,Debt,0.0004,0,0,0,4779266,4779266.0,4779266.0,415 Brainard St.,Detroit,MI,48201,,,,,,,26163522500,"MI, Wayne, Detroit, 48201",Affordable Housing,250000,2015-08-06 00:00:00,Reinvestment,Fully Disbursed,2015-08-19 00:00:00,2016-01-26 00:00:00,51,0,51,51,0,51,0,0,0,0,4779266,0,0,0,0,51,0,0,0,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,9.15004,POINT (-83.06068 42.34114)
131,9,16001,Complete,,MF - New Development,2016-09-30,2017-12-14 00:00:00,258000,Debt,0,0,400000,0,3938121,4338121.0,5141477.0,623 E. Main St.,Sparta,WI,54656,,,,,,,55081950400,"WI, Monroe, Sparta, 54656",Affordable Housing,258000,2016-09-30 00:00:00,Reinvestment,Fully Disbursed,2016-09-30 00:00:00,2017-01-23 00:00:00,27,0,27,32,8,11,8,0,5,1285369,1767383,1285369,0,803356,8,11,8,0,5,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,9.16001,POINT (-90.79262 43.94799)
132,9,16002,Partially Complete,,MF - Preservation WITH Rehab,2016-09-30,,628000,Debt,0,0,0,0,10543187,10543187.0,12551413.0,808 N Old World Third St,Milwaukee,WI,53203,,,,,,,55079014400,"WI, Milwaukee, Milwaukee, 53202",Affordable Housing,628000,2016-09-30 00:00:00,Reinvestment,Fully Disbursed,2016-09-30 00:00:00,2017-07-18 00:00:00,0,0,42,50,,,,,,,,,,,,,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,9.16002,POINT (-87.90783999999999 43.04241)
133,9,16003,Partially Complete,,MF - New Development,2016-09-27,,500000,Debt,0.0002,0,797500,0,8325115,9122615.0,9122615.0,501 Garfield Ave,Evansville,IN,47710,,,,,,,18163002100,"IN, Vanderburgh, Evansville, 47711",Affordable Housing,500000,2016-09-27 00:00:00,Reinvestment,Fully Disbursed,2016-09-30 00:00:00,2017-05-03 00:00:00,0,0,47,47,,,,,,,,,,,,,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,9.16003,POINT (-87.55177 37.98087)
134,10,100,Complete,,MF - Preservation w/o Rehab,2012-11-19,2012-12-18 00:00:00,200000,Grant,,0,0,100000,300000,600000.0,600000.0,1316 26th Street,Denver,CO,80205,,,,,,,08031001600,"CO, Denver, Denver, 80205",Affordable Housing,200000,2012-11-19 00:00:00,Investment,Fully Disbursed,2012-12-18 00:00:00,2012-12-18 00:00:00,23,0,23,23,2,8,13,,,52173.92,208695.68,339130.4,,,2,8,13,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,10.100,POINT (-104.98529 39.76199)
135,10,617,Complete,,MF - New Development,2012-05-31,2013-06-28 00:00:00,287427,Debt,0,3455324,120157,0,0,3862908.0,3862908.0,6090 W. Michigan Ave.,Delta Township,MI,48917,,,,,,,26045020102,"MI, Eaton, Waverly, 48917",Affordable Housing,287427,2012-05-31 00:00:00,Investment,Fully Disbursed,2012-05-31 00:00:00,2012-05-31 00:00:00,38,0,38,38,,38,,,,,3862908,,,,,38,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,10.617,POINT (-84.63173999999999 42.73382)
136,10,622,Complete,,MF - New Development,2012-09-27,2014-03-18 00:00:00,395440,Debt,0,2309900,153840,0,0,2859180.0,2859180.0,667 E. 6th St.,Sheridan,WY,82801,,,,,,,56033000400,"WY, Sheridan, Sheridan, 82801",Affordable Housing,395440,2012-09-27 00:00:00,Investment,Fully Disbursed,2012-09-27 00:00:00,2012-12-12 00:00:00,15,0,15,15,,15,,,,,2859180,,,,,15,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,10.622,POINT (-106.96308 44.81388)
137,10,623,Complete,,MF - New Development,2012-05-23,2013-04-19 00:00:00,500000,Debt,0.05,0,2541442.64,56356.77,6902200.59,10000000.0,19983196.0,2702-2785 Trailside Loop,Anchorage,AK,99507,,,,,,,02020002812,"AK, Anchorage Municipality, Anchorage, 99516",Affordable Housing,500000,2012-05-23 00:00:00,Investment,Fully Disbursed,2012-05-23 00:00:00,2012-05-23 00:00:00,65,0,65,65,,65,,,,,10000000,,,,,65,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.623,POINT (-149.80382 61.12542)
138,10,624,Complete,,MF - Preservation WITH Rehab,2012-10-05,2013-11-06 00:00:00,500000,Debt,0.07,169292.27,0,3485443.45,5845264.28,10000000.0,17334791.0,3180 West 76th Avenue,Westminster,CO,80030,,,,,,,08001009604,"CO, Adams, Westminster, 80030",Affordable Housing,500000,2012-10-05 00:00:00,Investment,Fully Disbursed,2012-10-05 00:00:00,2012-10-05 00:00:00,130,0,130,130,100,5,25,,,7692307.6,384615.5,1923076.9,,,100,5,25,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.624,POINT (-105.03796 39.83155)
139,10,629,Complete,,MF - Preservation WITH Rehab,2012-09-25,2013-12-16 00:00:00,500000,Debt,0.015,0,3957469.16,1815595.61,1856935.22,8130000.0,14381599.0,506 62nd Place,Seat Pleasant,MD,20743,,,,,,,24033802901,"MD, Prince George's, Coral Hills, 20743",Affordable Housing,500000,2012-09-25 00:00:00,Investment,Fully Disbursed,2012-09-25 00:00:00,2012-09-25 00:00:00,88,0,88,88,88,,,,,8130000,,,,,88,,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.629,POINT (-76.9034 38.89374)
140,10,632,Complete,,MF - New Development,2011-05-31,2016-03-01 00:00:00,500000,Debt,0,8729004,0,0,0,9229004.0,11294832.0,23200 Superior Parkway,Taylor,MI,48108,,,,,,,26163584500,"MI, Wayne, Taylor, 48180",Affordable Housing,500000,2011-05-31 00:00:00,Investment,Fully Disbursed,2014-06-24 00:00:00,2014-06-24 00:00:00,77,0,77,77,38,39,,,,3236144.1,3475858.2,,,,38,39,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,10.632,POINT (-83.24856 42.20531)
141,10,634,Complete,,MF - New Development,2012-10-24,2014-07-17 00:00:00,117133,Debt,0,0,516723.71,76034,1632769.29,2342660.0,6418910.0,9550 Lake Otis Parkway,Anchorage,AK,99507,,,,,,,02020002811,"AK, Anchorage Municipality, Anchorage, 99507",Affordable Housing,117133,2012-10-24 00:00:00,Investment,Fully Disbursed,2013-05-24 00:00:00,2013-05-24 00:00:00,20,0,20,20,3,9,8,,,351399,1054197,937064,,,3,9,8,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.634,POINT (-149.84523 61.13038)
142,10,606,Complete,,MF - Preservation WITH Rehab,2013-03-04,2014-10-09 00:00:00,250000,Debt,0,0,0,1180540.3,3569459.7,5000000.0,7584667.0,801 Affirmation Blvd,Charleston,SC,29412,,,,,,,45019002006,"SC, Charleston, Charleston, 29412",Affordable Housing,250000,2013-03-04 00:00:00,Investment,Fully Disbursed,2013-12-12 00:00:00,2013-12-12 00:00:00,51,0,51,51,13,38,,,,1274509.7,3725490.3,,,,13,38,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.606,POINT (-79.93943 32.73711)
143,10,644,Complete,,MF - New Development,2014-03-20,2016-10-13 00:00:00,137000,Debt,0,,1240445.31,77516.85,1285037.83,2740000.0,11028472.0,2574 Vista Drive,Juneau,AK,99801,,,,,,,02110000600,"AK, Juneau City and Borough, Juneau city and, 99824",Affordable Housing,137000,2014-03-20 00:00:00,Investment,Fully Disbursed,2014-05-14 00:00:00,2014-05-14 00:00:00,40,0,40,40,10,15,15,,,479500,685000,685000,,,10,15,15,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.644,POINT (-134.53344 58.19197)
144,10,647,Complete,,MF - Preservation WITH Rehab,2014-01-16,2014-06-01 00:00:00,200000,Debt,0,0,0,0,3551911,3751911.0,3751911.0,449 Main Street,Old Town,ME,04468,,,,,,,23019007100,"ME, Penobscot, Old Town, 04468",Affordable Housing,200000,2014-01-16 00:00:00,Investment,Fully Disbursed,2014-06-26 00:00:00,2014-06-26 00:00:00,80,0,80,80,,80,,,,,3751911,,,,,80,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,10.647,POINT (-68.66133000000001 44.93166)
145,10,640,Complete,,MF - Preservation w/o Rehab,2013-10-17,2013-11-21 00:00:00,163000,Debt,0,200000,0,0,1917500,2280500.0,2280500.0,2927 Dee Street,Shreveport,LA,71104,,,,,,,22017021400,"LA, Caddo Parish, Shreveport, 71104",Affordable Housing,163000,2013-10-17 00:00:00,Investment,Fully Disbursed,2013-11-21 00:00:00,2013-11-21 00:00:00,41,0,41,41,,9,22,10,,,500597,1223683,556220,,,9,22,10,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,10.640,POINT (-93.70996 32.48791)
146,10,126,Complete,,MF - Preservation WITH Rehab,2014-07-17,2016-02-26 00:00:00,372633,Debt,0.01,0,0,1951367.95,5128659.05,7452660.0,17398763.0,2700 Henrietta Avenue,St. Louis,MO,63104,,,,,,,29510123100,"MO, St. Louis city, St. Louis, 63104",Affordable Housing,372633,2014-07-17 00:00:00,Investment,Fully Disbursed,2014-07-17 00:00:00,2014-07-17 00:00:00,104,0,104,104,,104,,,,,3726330,,,,,52,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.126,POINT (-90.22519 38.61128)
147,10,155,Complete,,MF - Preservation WITH Rehab,2015-02-19,2016-03-29 00:00:00,750000,Debt,0.06,0,0,2812609.93,7495457.07,11058067.0,18597659.0,1451 Atlantic Avenue,Long Beach,CA,90813,,,,,,,06037575300,"CA, Los Angeles, Long Beach, 90813",Affordable Housing,750000,2015-02-19 00:00:00,Investment,Fully Disbursed,2015-02-26 00:00:00,2015-02-26 00:00:00,74,0,74,74,,74,,,,,5529033.5,,,,,44,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,10.155,POINT (-118.18503 33.78623)
148,11,201138,Complete,,MF - New Development,2011-10-24,2013-08-30 00:00:00,1520000,Debt,0,,,,,9694072.0,9694072.0,4251 E. Broad Street,Whitehall,OH,43213,,,,,,,39049009230,"OH, Franklin, Whitehall, 43213",Affordable Housing,1520000,2011-10-24 00:00:00,Investment,Fully Disbursed,2011-11-14 00:00:00,2012-04-05 00:00:00,66,0,66,66,20,20,26,,,2937598,2937598,3818876,,,20,20,26,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201138,POINT (-82.89001 39.96386)
149,11,201142,Complete,,MF - New Development,2011-12-15,2013-06-30 00:00:00,500000,Debt,0,,,,,7260982.0,7260982.0,3315 Mayo Street,Toledo,OH,43611,,,,,,,39095001202,"OH, Lucas, Toledo, 43611",Affordable Housing,500000,2011-12-15 00:00:00,Investment,Fully Disbursed,2011-12-28 00:00:00,2011-12-28 00:00:00,40,0,40,40,4,20,16,,,726098.2,3630491,2904392.8,,,4,20,16,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201142,POINT (-83.49957000000001 41.6813)
150,11,201218,Complete,,MF - Preservation WITH Rehab,2012-07-17,2013-11-01 00:00:00,500000,Debt,0,,,,,3760206.0,3760206.0,211 N. Jackson,New Lexington,OH,43764,,,,,,,39127966200,"OH, Perry, New Lexington, 43764",Affordable Housing,500000,2012-07-17 00:00:00,Investment,Fully Disbursed,2012-08-03 00:00:00,2012-08-03 00:00:00,25,0,25,25,1,9,15,,,150408,1353674,2256124,,,1,9,15,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201218,POINT (-82.20677000000001 39.70743)
151,11,201231,Complete,,MF - New Development,2012-08-16,2014-03-31 00:00:00,525000,Debt,0,,,,,8072652.0,8072652.0,Bottom and Dresden Road,Dresden,OH,43821,,,,,,,39119911100,"OH, Muskingum, Trinway, 43842",Affordable Housing,525000,2012-08-16 00:00:00,Investment,Fully Disbursed,2012-08-28 00:00:00,2012-08-28 00:00:00,35,0,35,35,2,19,14,,,456773,4339341,3197409,,,2,19,14,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201231,POINT (-82.02375000000001 40.10008)
152,11,201236,Complete,,MF - Preservation WITH Rehab,2012-08-29,2013-11-25 00:00:00,800000,Debt,0,,,,,14124518.0,14124518.0,849 York St,Cincinnati,OH,45202,,,,,,,39061026900,"OH, Hamilton, Cincinnati, 45214",Affordable Housing,800000,2012-08-29 00:00:00,Investment,Fully Disbursed,2012-08-30 00:00:00,2012-08-30 00:00:00,71,0,71,71,8,63,,,,1591495,12533023,,,,8,63,,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201236,POINT (-84.52909 39.11815)
153,11,201237,Complete,,MF - Preservation WITH Rehab,2012-08-29,2012-06-01 00:00:00,1325000,Debt,0,,,,,2340795.0,2340795.0,614 US Highway 60,Hardinsburg,KY,40143,,,,,,,21027960200,"KY, Breckinridge, Harned, 40144",Affordable Housing,905000,2012-08-29 00:00:00,Investment,Fully Disbursed,2012-08-29 00:00:00,2012-08-29 00:00:00,24,0,24,24,,0,24,,,,,2340795,,,,0,24,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201237,POINT (-86.43921 37.77615)
155,11,201240,Complete,,MF - Preservation WITH Rehab,2012-08-16,2013-12-30 00:00:00,600000,Debt,0,,,,,10102847.0,10102847.0,856 Cleveland Road,Ravenna,OH,44266,,,,,,,39133600901,"OH, Portage, Ravenna, 44266",Affordable Housing,600000,2012-08-16 00:00:00,Reinvestment,Fully Disbursed,2012-09-13 00:00:00,2012-09-13 00:00:00,65,0,65,65,4,19,42,,,621714,2953140,6527993,,,4,19,42,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201240,POINT (-81.25698 41.16759)
156,11,201306,Complete,,MF - Preservation WITH Rehab,2013-05-02,2014-10-30 00:00:00,1020000,Debt,0,,,,,6497759.0,6497759.0,548 Pontiac Drive,Defiance,OH,43512,,,,,,,39039958500,"OH, Defiance, Defiance, 43512",Affordable Housing,1020000,2013-05-02 00:00:00,Reinvestment,Fully Disbursed,2013-08-01 00:00:00,2013-08-01 00:00:00,50,0,50,50,3,,47,,,389866,,6107893,,,3,,47,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201306,POINT (-84.35845 41.29552)
157,11,201308,Complete,,MF - Preservation WITH Rehab,2013-03-12,2014-12-30 00:00:00,1325000,Debt,0,,,,,15801556.0,15801556.0,8016 Detroit Ave,Cleveland,OH,44102,,,,,,,39035101200,"OH, Cuyahoga, Cleveland, 44102",Affordable Housing,1325000,2013-03-12 00:00:00,Reinvestment,Fully Disbursed,2013-08-09 00:00:00,2013-08-09 00:00:00,126,0,126,126,13,38,75,,,1630319,4765549,9405688,,,13,38,75,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201308,POINT (-81.73927 41.48975)
158,11,201415,Complete,,MF - Rehab,2014-06-06,2014-10-30 00:00:00,510000,Debt,0.0005,,,,,6497759.0,6497759.0,548 Pontiac Drive,Defiance,OH,43512,,,,,,,39039958500,"OH, Defiance, Defiance, 43512",Affordable Housing,510000,2014-06-06 00:00:00,Reinvestment,Fully Disbursed,2014-06-06 00:00:00,2014-06-06 00:00:00,50,0,50,50,3,,47,,,389866,,6107893,,,3,,47,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201415,POINT (-84.35845 41.29552)
159,11,201426,Complete,,MF - Preservation WITH Rehab,2014-11-28,2016-06-01 00:00:00,1000000,Debt,0.0005,,,,,11257687.0,11257687.0,34251 Ridge Road,Willoughby,OH,44094,,,,,,,39085201200,"OH, Lake, Willoughby, 44094",Affordable Housing,1000000,2014-11-28 00:00:00,Reinvestment,Fully Disbursed,2014-11-28 00:00:00,2014-11-28 00:00:00,82,0,82,82,0,0,82,,,,,11257687,,,0,0,82,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201426,POINT (-81.43531 41.62494)
160,11,201440,Complete,,MF - New Development,2014-12-30,2014-09-09 00:00:00,1620000,Debt,0.0005,,,,,6979747.0,6979747.0,369 Chittenden Street,Akron,OH,44306,,,,,,,39153503400,"OH, Summit, Akron, 44306",Affordable Housing,1620000,2014-12-30 00:00:00,Reinvestment,Fully Disbursed,2014-12-30 00:00:00,2014-12-30 00:00:00,27,0,27,27,0,11,16,,,,2843601,4136146,,,,11,16,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201440,POINT (-81.48618 41.06303)
161,11,201513,Complete,,MF - Preservation WITH Rehab,2015-04-21,2015-11-01 00:00:00,800000,Debt,0.0005,,2250000,,4649429,7699429.0,7699429.0,1020 Chapel Street,Cincinnati,OH,45206,,,,,,,39025041305,"OH, Clermont, Cincinnati, 45245",Affordable Housing,800000,2015-04-21 00:00:00,Reinvestment,Fully Disbursed,2015-06-11 00:00:00,2015-06-11 00:00:00,30,0,30,30,2,10,18,,,513295,2566476,4619657,,,2,10,18,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201513,POINT (-84.27912000000001 39.07503)
162,11,201530,Complete,,MF - New Development,2015-10-13,2016-12-22 00:00:00,303000,Debt,0.0005,,642262,,968752,1914014.0,1914014.0,5 Charles Street,Athens,OH,45701,,,,,,,39009973700,"OH, Athens, Guysville, 45735",Affordable Housing,303000,2015-10-13 00:00:00,Reinvestment,Fully Disbursed,2015-09-25 00:00:00,2015-09-25 00:00:00,7,0,7,7,0,7,0,,,,1914014,,,,0,7,0,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201530,POINT (-82.02683 39.24026)
163,11,201532,Complete,,MF - Preservation WITH Rehab,2015-09-25,2016-07-15 00:00:00,707000,Debt,0.0005,,1910753,,9036076,11653829.0,11653829.0,17 West Johnson Street,Springfield,OH,45506,,,,,,,39047926000,"OH, Fayette, Washington Court House, 43160",Affordable Housing,707000,2015-09-25 00:00:00,Reinvestment,Fully Disbursed,2015-09-29 00:00:00,2015-09-29 00:00:00,99,0,99,99,35,11,53,,,4120041,1294870,6238919,,,35,11,53,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201532,POINT (-83.47066 39.52801)
164,11,201534,Complete,,MF - Preservation WITH Rehab,2015-12-03,2016-05-03 00:00:00,505000,Debt,0.0005,,1630000,,3068239,5203239.0,5203239.0,15 Orchard Lane,Jackson,OH,45640,,,,,,,39053953600,"OH, Gallia, Vinton, 45686",Affordable Housing,505000,2015-12-03 00:00:00,Reinvestment,Fully Disbursed,2015-12-04 00:00:00,2015-12-04 00:00:00,40,0,40,40,2,15,23,,,260162,1951215,2991862,,,2,15,23,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201534,POINT (-82.35503 38.95749)
165,11,201545,Complete,,MF - Preservation WITH Rehab,2015-11-16,2016-05-22 00:00:00,400000,Debt,0.0005,,719590,,4512583,5632173.0,5632173.0,1203 Beier Drive,Fostoria,OH,44830,,,,,,,39147963200,"OH, Seneca, Tiffin, 44883",Affordable Housing,400000,2015-11-16 00:00:00,Reinvestment,Fully Disbursed,2015-12-23 00:00:00,2015-12-23 00:00:00,40,0,40,40,2,0,38,,,281609,,5350564,,,2,0,38,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201545,POINT (-83.23204 41.08235)
166,11,201548,Complete,,MF - New Development,2015-12-18,2017-10-01 00:00:00,714000,Debt,0.0005,,0,,7951034,8665034.0,8665034.0,189 Fayette Street,Nelsonville,OH,45764,,,,,,,39009973700,"OH, Athens, Guysville, 45735",Affordable Housing,714000,2015-12-18 00:00:00,Reinvestment,Fully Disbursed,2015-12-29 00:00:00,2015-12-29 00:00:00,33,0,33,33,2,0,31,,,525154,,8139880,,,2,0,31,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201548,POINT (-82.02683 39.24026)
167,11,201540,Complete,,MF - Preservation WITH Rehab,2015-12-11,2016-10-28 00:00:00,1000000,Debt,0.0005,,1250000,,13689672,15939672.0,15939672.0,85 South Fourth Street,Columbus,OH,43215,,,,,,,39073964900,"OH, Hocking, Rockbridge, 43149",Affordable Housing,1000000,2015-12-11 00:00:00,Reinvestment,Fully Disbursed,2015-12-29 00:00:00,2015-12-29 00:00:00,91,0,91,91,70,8,13,,,12261286,1401290,2277096,,,70,8,13,,,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,11.201540,POINT (-82.5025 39.59114)
171,13,1,Complete,,EDA/CSF,2011-08-25,2013-12-20 00:00:00,682812,Debt,0.0588,0,795000,0,9908194,11386006.0,11386006.0,5716 Michigan Avenue,Detroit,MI,48210,,Healthcare,45000,,,,26163525500,"MI, Wayne, Detroit, 48210",EDA/CSF,600000,2011-08-25 00:00:00,Investment,Fully Disbursed,2011-08-25 00:00:00,2013-12-20 00:00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,POINT (-83.10936 42.33401)
173,13,2,Complete,,MF - New Development,2011-12-12,2013-07-17 00:00:00,483526,Debt,0.035,0,1476676,8014530,0,8014530.0,8014530.0,14711 Mack Avenue,Detroit,MI,48215,,,,,,,26163512400,"MI, Wayne, Detroit, 48215",Affordable Housing,483526,2011-12-12 00:00:00,Investment,Fully Disbursed,2011-12-12 00:00:00,2012-06-01 00:00:00,39,0,39,39,32,7,0,0,0,6576024.62,1438505.38,0,0,0,32,7,0,0,0,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,13.2,POINT (-82.95607 42.39089)
174,13,3,Complete,,MF - New Development,2011-08-25,2013-09-30 00:00:00,307813,Debt,0.035,,,25292,6337465,6705949.0,6705949.0,4033 Toledo,Detroit,MI,48209,,,,,,,26163523400,"MI, Wayne, Detroit, 48216",Affordable Housing,450000,2011-08-25 00:00:00,Investment,Fully Disbursed,2011-08-25 00:00:00,2013-01-30 00:00:00,32,0,32,32,11,13,8,0,0,2305169.97,2724291.78,1676487.25,0,0,11,13,8,0,0,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,13.3,POINT (-83.09108999999999 42.31965)
175,13,4,Incomplete - Terminated,650000,MF - Rehab,2012-11-16,,578527,Debt,0.025,,,,,11542325.0,11542325.0,1524 Vinewood,Detroit,MI,48216,,,,,,,26163523400,"MI, Wayne, Detroit, 48216",Affordable Housing,366474,2012-11-16 00:00:00,Investment,Partially Disbursed,2012-11-16 00:00:00,,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,13.4,POINT (-83.09108999999999 42.31965)
177,13,5,Complete,,MF - New Development,2013-01-01,2015-03-11 00:00:00,600000,Debt,0.025,463750,0,352030,4765618,6181398.0,6181398.0,2109 McKinstry,Detroit,MI,48216,,,,,,,26163521100,"MI, Wayne, Detroit, 48216",Affordable Housing,600000,2013-01-01 00:00:00,Reinvestment,Fully Disbursed,2013-06-01 00:00:00,2015-03-11 00:00:00,25,0,25,25,8,4,13,0,0,1978047,989024,3214327,0,0,8,4,13,0,0,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,13.5,POINT (-83.0814 42.32104)
178,13,6,Complete,,MF - New Development,2015-01-20,2017-12-31 00:00:00,575000,Debt,0.025,0,0,228282,6802268,7605550.0,7605550.0,3783 Ashland,Detroit,MI,48215,,,,,,,26163512400,"MI, Wayne, Detroit, 48215",Affordable Housing,366474,2015-01-20 00:00:00,Investment,Fully Disbursed,2015-01-20 00:00:00,2015-09-01 00:00:00,29,0,28,30,8,5,15,1,1,2028147,1263592,3802775,255518,255518,8,5,15,1,1,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,13.6,POINT (-82.95607 42.39089)
